39.6744 	EXP 	New trial (rep=0, index=10): OrderedDict([('color1', 'chartrueuse_green'), ('color2', 'spring_green'), ('color1a', 'chartrueuse_green.png'), ('color2a', 'spring_green.png')])
39.6888 	EXP 	image: autoDraw = False
39.6888 	EXP 	image_2: autoDraw = False
39.6888 	EXP 	slider: autoDraw = False
39.6888 	EXP 	text: autoDraw = False
39.6888 	EXP 	image: image = 'chartrueuse_green.png'
39.6888 	EXP 	image_2: image = 'spring_green.png'
39.6888 	EXP 	slider: markerPos = None
39.6888 	EXP 	slider: markerPos = None
39.6888 	EXP 	slider: rating = None
39.6888 	EXP 	image: autoDraw = True
39.6888 	EXP 	image_2: autoDraw = True
39.6888 	EXP 	slider: autoDraw = True
39.6888 	EXP 	text: autoDraw = True
41.2387 	DATA 	Mouse: Left button down, pos=(492,186)
41.2542 	EXP 	slider: markerPos = 2.1
41.2542 	EXP 	unnamed Circle: pos = array([[-0.25333333, -0.3       ]])
41.2706 	EXP 	slider: markerPos = 2.1
41.2881 	EXP 	slider: markerPos = 2.1
41.3048 	EXP 	slider: markerPos = 2.1
41.3066 	DATA 	Mouse:  Left button up, pos=(492,186)
41.3191 	EXP 	slider: markerPos = 2.1
41.3191 	EXP 	slider: rating = 2.1
41.3191 	EXP 	unnamed Circle: pos = array([[-0.25333333, -0.3       ]])
41.3216 	EXP 	New trial (rep=0, index=11): OrderedDict([('color1', 'spring_green'), ('color2', 'yellow'), ('color1a', 'spring_green.png'), ('color2a', 'yellow.png')])
41.3364 	EXP 	image: autoDraw = False
41.3364 	EXP 	image_2: autoDraw = False
41.3364 	EXP 	slider: autoDraw = False
41.3364 	EXP 	text: autoDraw = False
41.3364 	EXP 	image: image = 'spring_green.png'
41.3364 	EXP 	image_2: image = 'yellow.png'
41.3364 	EXP 	slider: markerPos = None
41.3364 	EXP 	slider: markerPos = None
41.3364 	EXP 	slider: rating = None
41.3364 	EXP 	image: autoDraw = True
41.3364 	EXP 	image_2: autoDraw = True
41.3364 	EXP 	slider: autoDraw = True
41.3364 	EXP 	text: autoDraw = True
43.9566 	DATA 	Mouse: Left button down, pos=(588,186)
43.9719 	EXP 	slider: markerPos = 2.9
43.9719 	EXP 	unnamed Circle: pos = array([[-0.14666667, -0.3       ]])
43.9880 	EXP 	slider: markerPos = 2.9
44.0052 	EXP 	slider: markerPos = 2.9
44.0211 	EXP 	slider: markerPos = 2.9
44.0382 	EXP 	slider: markerPos = 2.9
44.0440 	DATA 	Mouse:  Left button up, pos=(588,186)
44.0518 	EXP 	slider: markerPos = 2.9
44.0714 	EXP 	slider: markerPos = 2.9
44.0714 	EXP 	slider: rating = 2.9
44.0714 	EXP 	unnamed Circle: pos = array([[-0.14666667, -0.3       ]])
44.0737 	EXP 	New trial (rep=0, index=12): OrderedDict([('color1', 'magenta'), ('color2', 'yellow'), ('color1a', 'magenta.png'), ('color2a', 'yellow.png')])
44.0889 	EXP 	image: autoDraw = False
44.0889 	EXP 	image_2: autoDraw = False
44.0889 	EXP 	slider: autoDraw = False
44.0889 	EXP 	text: autoDraw = False
44.0889 	EXP 	image: image = 'magenta.png'
44.0889 	EXP 	image_2: image = 'yellow.png'
44.0889 	EXP 	slider: markerPos = None
44.0889 	EXP 	slider: markerPos = None
44.0889 	EXP 	slider: rating = None
44.0889 	EXP 	image: autoDraw = True
44.0889 	EXP 	image_2: autoDraw = True
44.0889 	EXP 	slider: autoDraw = True
44.0889 	EXP 	text: autoDraw = True
47.4056 	DATA 	Mouse: Left button down, pos=(961,174)
47.4213 	EXP 	slider: markerPos = 6.008333333333333
47.4213 	EXP 	unnamed Circle: pos = array([[ 0.26777778, -0.3       ]])
